year,month,day,hour,created,source,favoriteCount,retweetCount,picture,exclamation,hashtag
2017,1,27,15,1/27/2017 20:20,iPhone,58372,10838,Picture/link,No,No
2017,1,27,11,1/27/2017 16:30,iPhone,89406,16282,Picture/link,Yes,Yes
2017,1,27,11,1/27/2017 16:27,iPhone,187677,46459,No picture/link,Yes,Yes
2017,1,27,8,1/27/2017 13:19,Android,162676,31205,No picture/link,Yes,No
2017,1,27,8,1/27/2017 13:12,Android,90017,17646,No picture/link,Yes,No
2017,1,26,18,1/26/2017 23:53,iPhone,114415,25299,Picture/link,Yes,No
2017,1,26,18,1/26/2017 23:45,iPhone,74506,10807,No picture/link,Yes,No
2017,1,26,14,1/26/2017 19:21,iPhone,73233,11423,Picture/link,No,No
2017,1,26,8,1/26/2017 13:55,Android,117668,28695,No picture/link,No,No
2017,1,26,8,1/26/2017 13:51,Android,108735,26447,No picture/link,No,No
2017,1,26,6,1/26/2017 11:04,Android,130574,28529,No picture/link,Yes,No
2017,1,25,21,1/26/2017 2:48,Android,54490,6586,No picture/link,Yes,No
2017,1,25,21,1/26/2017 2:45,Android,45298,6508,Picture/link,No,No
2017,1,25,21,1/26/2017 2:14,iPhone,154352,29463,Picture/link,No,No
2017,1,25,17,1/25/2017 22:05,iPhone,76723,12637,Picture/link,No,No
2017,1,25,7,1/25/2017 12:17,Android,134620,22177,No picture/link,Yes,No
2017,1,25,7,1/25/2017 12:13,Android,108953,19221,No picture/link,Yes,No
2017,1,25,7,1/25/2017 12:10,Android,132086,26443,No picture/link,No,No
2017,1,24,21,1/25/2017 2:37,Android,197791,55596,No picture/link,Yes,No
2017,1,24,21,1/25/2017 2:25,Android,213321,57443,No picture/link,Yes,No
2017,1,24,21,1/25/2017 2:16,Android,165513,32740,No picture/link,Yes,No
2017,1,24,19,1/25/2017 0:46,iPhone,102470,18970,Picture/link,No,No
2017,1,24,12,1/24/2017 17:49,iPhone,134058,26186,Picture/link,No,No
2017,1,24,12,1/24/2017 17:04,iPhone,100731,16554,Picture/link,Yes,Yes
2017,1,24,11,1/24/2017 16:58,iPhone,110967,21178,Picture/link,Yes,No
2017,1,24,6,1/24/2017 11:11,Android,157229,24160,No picture/link,Yes,No
2017,1,23,6,1/23/2017 11:38,Android,181518,27246,No picture/link,No,No
2017,1,22,9,1/22/2017 14:23,Android,396894,83594,No picture/link,No,No
2017,1,22,7,1/22/2017 12:51,Android,221340,41010,No picture/link,Yes,No
2017,1,22,7,1/22/2017 12:47,Android,217273,47019,No picture/link,Yes,No
2017,1,22,7,1/22/2017 12:35,Android,129633,17223,No picture/link,Yes,No
2017,1,21,6,1/21/2017 11:53,Android,180352,23745,No picture/link,Yes,No
2017,1,20,23,1/21/2017 4:56,iPhone,294135,53540,Picture/link,No,No
2017,1,20,13,1/20/2017 18:13,iPhone,93671,16900,Picture/link,No,No
2017,1,20,13,1/20/2017 18:00,iPhone,87800,14298,Picture/link,No,No
2017,1,20,12,1/20/2017 17:58,iPhone,59921,9344,Picture/link,No,No
2017,1,20,12,1/20/2017 17:55,iPhone,163889,38930,No picture/link,Yes,Yes
2017,1,20,12,1/20/2017 17:54,iPhone,176618,38447,No picture/link,Yes,No
2017,1,20,12,1/20/2017 17:54,iPhone,150426,35901,No picture/link,No,Yes
2017,1,20,12,1/20/2017 17:53,iPhone,221871,61991,No picture/link,No,No
2017,1,20,12,1/20/2017 17:52,iPhone,183171,43807,No picture/link,No,No
2017,1,20,12,1/20/2017 17:51,iPhone,92660,18829,No picture/link,No,Yes
2017,1,20,12,1/20/2017 17:51,iPhone,111355,20628,No picture/link,No,No
2017,1,20,7,1/20/2017 12:31,Android,272729,72495,No picture/link,Yes,No
2017,1,19,23,1/20/2017 4:24,iPhone,114630,21251,Picture/link,No,Yes
2017,1,19,19,1/20/2017 0:40,iPhone,168076,34851,Picture/link,Yes,No
2017,1,19,15,1/19/2017 20:21,iPhone,67194,12508,Picture/link,Yes,Yes
2017,1,19,15,1/19/2017 20:18,Android,66390,8549,No picture/link,Yes,No
2017,1,19,15,1/19/2017 20:13,iPhone,57293,9074,Picture/link,Yes,Yes
2017,1,19,8,1/19/2017 13:02,Android,162513,39755,No picture/link,Yes,No
2017,1,19,8,1/19/2017 13:00,Android,152523,26268,No picture/link,No,No
2017,1,19,7,1/19/2017 12:52,Android,126983,28211,No picture/link,Yes,No
2017,1,18,23,1/19/2017 4:01,iPhone,83635,16603,Picture/link,No,No
2017,1,18,20,1/19/2017 1:54,iPhone,65668,10214,Picture/link,Yes,Yes
2017,1,18,12,1/18/2017 17:33,iPhone,109537,21565,Picture/link,No,No
2017,1,18,9,1/18/2017 14:03,Android,66779,11551,No picture/link,Yes,No
2017,1,18,8,1/18/2017 13:06,Android,58277,10800,No picture/link,Yes,No
2017,1,18,8,1/18/2017 13:00,Android,59035,12171,No picture/link,No,No
2017,1,18,7,1/18/2017 12:44,Android,58783,11731,No picture/link,Yes,No
2017,1,18,7,1/18/2017 12:34,Android,48926,10381,No picture/link,No,No
2017,1,18,6,1/18/2017 11:53,Android,38019,5729,No picture/link,Yes,No
2017,1,17,9,1/17/2017 14:52,Android,65350,14262,No picture/link,Yes,No
2017,1,17,9,1/17/2017 14:46,Android,68144,16545,No picture/link,Yes,No
