Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2013,1,10.44449156,8.00091,8.36156,42453,4126,308
2013,2,11.05025084,8.07448,8.43492,60795,6065,653
2013,3,11.10566522,8.13694,8.49718,59168,5938,633
2013,4,10.62711747,8.18735,8.54739,57852,5646,502
2013,5,10.0729383,8.22494,8.58477,56349,5284,392
2013,6,9.495762103,8.24912,8.60875,55688,5020,268
2013,7,9.360185219,8.25951,8.61893,54422,4885,209
2013,8,8.877543387,8.25591,8.61512,53472,4580,167
2013,9,8.732118288,8.23833,8.59734,53057,4485,148
2013,10,8.474735165,8.20699,8.5658,53335,4417,103
2013,11,8.510156736,8.16231,8.52091,53019,4403,109
2013,12,8.194895235,8.10488,8.46328,52069,4184,83
2013,13,8.176780646,8.03551,8.3937,51793,4179,56
2013,14,7.989479836,7.95515,8.31313,51330,4051,50
2013,15,7.810748628,7.86492,8.2227,50853,3937,35
2013,16,7.767617433,7.76609,8.12366,49539,3826,22
2013,17,7.470063905,7.66003,8.0174,48353,3585,27
2013,18,7.265133973,7.54824,7.9054,48368,3504,10
2013,19,7.104395375,7.43229,7.78925,47914,3393,11
2013,20,7.006315612,7.31381,7.67055,47343,3313,4
2013,21,6.893051973,7.19445,7.55099,47294,3248,12
2013,22,6.53032319,7.07589,7.43222,46598,3040,3
2013,23,7.131149286,6.95979,7.31592,46977,3342,8
2013,24,7.0424654,6.84777,7.20369,46532,3271,6
2013,25,6.732114793,6.74139,7.09711,46449,3123,4
2013,26,6.590776793,6.64213,6.99765,46383,3055,2
2013,27,6.391783524,6.55137,6.90668,46638,2976,5
2013,28,6.63578561,6.47035,6.82545,45767,3035,2
2013,29,6.607413831,6.40017,6.75507,46130,3041,7
2013,30,6.217919563,6.34179,6.69649,46173,2866,5
2013,31,6.362966495,6.29599,6.65047,46142,2929,7
2013,32,6.474820144,6.26334,6.61762,46009,2976,3
2013,33,6.544034215,6.24426,6.59834,45828,2996,3
2013,34,6.464795774,6.23895,6.59282,46003,2970,4
2013,35,6.261076291,6.24741,6.60108,46270,2891,6
2013,36,6.272350321,6.26946,6.62292,45581,2858,1
2013,37,6.473542912,6.30469,6.65795,46188,2983,7
2013,38,6.510578885,6.35254,6.70558,46555,3027,4
2013,39,6.546062503,6.41223,6.76507,46654,3043,11
2013,40,6.617956709,6.36132,6.77011,47492,3140,3
2013,41,6.652714358,6.45326,6.86185,47304,3135,12
2013,42,6.779126927,6.55439,6.96279,47602,3216,11
2013,43,6.622544297,6.66322,7.07142,47746,3151,11
2013,44,6.73063124,6.77811,7.18613,48777,3271,12
2013,45,7.041418909,6.89738,7.3052,48939,3429,17
2013,46,6.749782428,7.01924,7.42687,49409,3320,15
2013,47,6.973039463,7.1419,7.54933,49591,3430,28
2013,48,6.934750852,7.26355,7.67079,49288,3385,33
2013,49,7.155789971,7.38238,7.78943,50812,3594,42
2013,50,7.568276501,7.49666,7.90351,51848,3856,68
2013,51,7.657760524,7.60468,8.01135,52548,3917,107
2013,52,7.985910613,7.70487,8.11134,51954,3942,207
2014,1,9.083098302,7.79573,8.20201,53539,4512,351
2014,2,9.781089893,7.87593,8.28201,55822,4999,461
2014,3,10.03700447,7.94428,8.35017,54588,5005,474
2014,4,9.658576261,7.99977,8.40546,54097,4783,442
2014,5,9.27957308,8.04157,8.44707,53968,4623,385
2014,6,8.970566207,8.06905,8.47436,53408,4476,315
2014,7,8.648809303,8.08179,8.48691,53834,4385,271
2014,8,7.971826173,8.07959,8.48451,52673,3990,209
2014,9,7.793790502,8.06246,8.46718,51695,3868,161
2014,10,8.014981273,8.03061,8.43515,52065,4048,125
2014,11,7.791530693,7.98451,8.38885,51787,3942,93
2014,12,7.603260764,7.92477,8.32892,51399,3834,74
2014,13,7.589215532,7.85226,8.25622,50888,3797,65
2014,14,7.622622229,7.768,8.17176,50888,3824,55
2014,15,7.498373775,7.67317,8.07674,50731,3730,74
2014,16,7.310380741,7.56914,7.97251,49929,3595,55
2014,17,7.116097366,7.45737,7.86055,49915,3498,54
2014,18,7.132073193,7.33946,7.74245,49677,3490,53
2014,19,7.055434135,7.21708,7.61988,50330,3512,39
2014,20,6.777362899,7.09198,7.49458,47939,3222,27
2014,21,6.719058591,6.96593,7.36833,48608,3242,24
2014,22,6.548904019,6.84072,7.24293,48176,3140,15
2014,23,6.779377302,6.71812,7.12014,47792,3220,20
2014,24,6.766445787,6.59988,7.00171,47839,3222,15
2014,25,6.476542484,6.48767,6.88931,47618,3077,7
2014,26,6.323086324,6.38307,6.78451,47461,2998,3
2014,27,6.337092864,6.28754,6.68879,47435,3000,6
2014,28,6.302529859,6.20243,6.60349,47473,2988,4
2014,29,6.246295826,6.12893,6.52979,47244,2944,7
2014,30,6.336012214,6.06804,6.46871,47159,2985,3
2014,31,6.230582628,6.02061,6.42108,46994,2923,5
2014,32,6.038914143,5.98727,6.38755,47078,2842,1
2014,33,6.147330596,5.96845,6.36854,46752,2869,5
2014,34,6.163153619,5.96439,6.36428,46778,2877,6
2014,35,6.064762231,5.97507,6.37477,46663,2825,5
2014,36,6.249868346,6.00031,6.39981,47473,2966,1
2014,37,6.142087671,6.03967,6.43899,46971,2881,4
2014,38,6.231022004,6.09255,6.49168,48082,2990,6
2014,39,6.24315896,6.15813,6.55706,48421,3017,6
2014,40,6.370177397,6.23694,6.65537,48366,3075,6
2014,41,6.381685575,6.33393,6.75197,49360,3142,8
2014,42,6.291888379,6.44181,6.85947,49238,3085,13
2014,43,6.547655438,6.55892,6.97621,49071,3202,11
2014,44,6.470504214,6.68349,7.10039,49007,3154,17
2014,45,6.305706282,6.81363,7.23015,51049,3208,11
2014,46,6.445103858,6.94736,7.3635,50550,3240,18
2014,47,6.493061504,7.08268,7.49843,52533,3380,31
2014,48,6.68067713,7.21754,7.63292,51866,3419,46
2014,49,7.020171381,7.34994,7.76494,52748,3620,83
2014,50,7.383202002,7.47788,7.8925,53554,3785,169
2014,51,8.07366995,7.59945,8.01368,54622,4098,312
2014,52,8.524309274,7.71283,8.12668,56028,4264,512
2014,53,10.1910828,7.81631,8.22978,59346,5034,1014
2015,1,10.81133603,7.90836,8.32144,61750,5576,1100
2015,2,10.74681537,7.98757,8.40028,61153,5589,983
2015,3,10.05235066,8.05277,8.4651,58643,5184,711
2015,4,9.500453816,8.10296,8.5149,57292,4857,586
2015,5,9.10707437,8.13736,8.54892,57362,4740,484
2015,6,8.80847308,8.15544,8.56662,56650,4585,405
2015,7,8.445534596,8.15689,8.56769,56669,4501,285
2015,8,8.48601051,8.14164,8.55206,56328,4559,221
2015,9,8.382004177,8.10989,8.51993,56502,4546,190
2015,10,8.262757482,8.06204,8.4717,55732,4446,159
2015,11,7.960701497,7.99875,8.40802,54455,4196,139
2015,12,7.533707865,7.92088,8.32977,53400,3902,121
2015,13,7.410331604,7.82952,8.23803,53196,3843,99
2015,14,7.453674787,7.72594,8.13407,52833,3838,100
2015,15,7.565870359,7.61159,8.01934,52869,3925,75
2015,16,7.497820401,7.48808,7.89545,51615,3807,63
2015,17,7.19156128,7.35712,7.76411,51477,3652,50
2015,18,6.922972738,7.22057,7.62718,51683,3550,28
2015,19,6.896075725,7.08034,7.48656,50710,3475,22
2015,20,6.588911837,6.93838,7.34422,49386,3240,14
2015,21,6.803499057,6.79668,7.20214,49842,3373,18
2015,22,6.512647692,6.65722,7.0623,49258,3198,10
2015,23,6.475253489,6.52194,6.92664,49805,3214,11
2015,24,6.426128034,6.39271,6.79703,49112,3150,6
2015,25,6.52563789,6.27133,6.67527,49068,3198,4
2015,26,6.332507413,6.15946,6.56301,49238,3112,6
2015,27,6.308993585,6.05862,6.4618,48946,3081,7
2015,28,6.170057254,5.97019,6.37298,49254,3032,7
2015,29,6.191670435,5.89534,6.29775,48646,3009,3
2015,30,5.998192944,5.83506,6.23709,48698,2917,4
2015,31,6.110156687,5.79012,6.19177,48313,2948,4
2015,32,5.914580999,5.76107,6.16234,48186,2842,8
2015,33,6.068922823,5.74822,6.14911,48460,2935,6
2015,34,6.000206122,5.75166,6.15217,48515,2906,5
2015,35,6.038478894,5.77123,6.17135,48754,2941,3
2015,36,6.048312742,5.80655,6.20629,48807,2949,3
2015,37,6.165376682,5.85699,6.25636,48967,3013,6
2015,38,6.205245755,5.92174,6.32072,49297,3051,8
2015,39,6.272119142,5.99975,6.39835,48883,3060,6
2015,40,6.302356533,6.08979,6.48801,51092,3206,14
2015,41,6.299716193,6.19047,6.58831,50034,3145,7
2015,42,6.368188513,6.30023,6.69769,50925,3227,16
2015,43,6.313516512,6.4174,6.81449,50479,3170,17
2015,44,6.595145973,6.5402,6.9369,51174,3355,20
2015,45,6.388680881,6.66676,7.06309,50746,3228,14
2015,46,6.504535804,6.79518,7.19113,51810,3357,13
2015,47,6.507933425,6.92352,7.31909,51491,3337,14
2015,48,6.689971765,7.04985,7.44505,52063,3461,22
2015,49,6.617920667,7.17228,7.5671,53748,3537,20
2015,50,6.71169189,7.28896,7.68341,52267,3482,26
2015,51,6.672430644,7.39817,7.79224,53204,3535,15
2015,52,7.519011407,7.49824,7.89195,52600,3924,31
2016,1,7.655373811,7.58769,7.98103,55817,4241,32
2016,2,7.761398204,7.66517,8.05814,55557,4282,30
2016,3,7.396337156,7.72951,8.12211,55203,4047,36
2016,4,7.485621855,7.77974,8.17196,55640,4115,50
2016,5,7.517282674,7.81507,8.20693,55113,4082,61
2016,6,7.361907854,7.83497,8.22646,55434,3989,92
2016,7,7.479697963,7.8391,8.23023,56152,4051,149
2016,8,8.004711852,7.82736,8.21813,55180,4230,187
2016,9,8.062756042,7.79988,8.19029,55899,4250,257
2016,10,8.147937209,7.75703,8.14707,56186,4284,294
2016,11,8.254224242,7.69937,8.08906,54566,4153,351
2016,12,8.19127578,7.62771,8.01704,54790,4193,295
2016,13,7.749234907,7.54303,7.93201,53915,3896,282
2016,14,7.758349524,7.44652,7.83514,54045,3943,250
2016,15,7.642096994,7.33953,7.7278,53467,3890,196
2016,16,7.212361898,7.22355,7.61148,53131,3684,148
2016,17,6.907436817,7.10022,7.4878,51003,3396,127
2016,18,6.814057408,6.97127,7.3585,51247,3401,91
2016,19,6.498754389,6.8385,7.22538,50979,3239,74
2016,20,6.58392974,6.70377,7.09032,50441,3287,34
2016,21,6.394784297,6.56898,6.95518,50463,3197,30
2016,22,6.120189986,6.436,6.82187,49688,3024,17
2016,23,6.391293891,6.3067,6.69223,49896,3172,17
2016,24,5.888365568,6.18287,6.56807,49895,2920,18
2016,25,5.820329825,6.06623,6.4511,49602,2875,12
2016,26,5.879513225,5.95839,6.34293,49715,2913,10
2016,27,5.882826656,5.86084,6.24505,49670,2912,10
2016,28,5.90796396,5.77491,6.1588,49611,2925,6
2016,29,5.626852942,5.70175,6.08532,49246,2766,5
2016,30,5.652287687,5.64235,6.0256,49679,2803,5
2016,31,5.750146533,5.59749,5.98042,49477,2843,2
2016,32,5.690435482,5.56772,5.95033,49715,2827,2
2016,33,5.762085518,5.55339,5.9357,49791,2864,5
